date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2024-07-19,536.2940673828125,Range,20,1958.5024264699452,982807.0185733322,-0.9792512132349727,0.007463062370648822,0.9297350413878064,101.67153741386682,0.0007571788061349061
2024-07-22,541.8232421875,Range,-11,216.97326056775742,966669.9047768972,0.19724841869796128,0.037094731306510004,34.91948185114884,306.8965736342054,-0.016419412449719895
2024-07-23,540.9733276367188,Range,-11,148.54094300871526,967304.4196669854,0.13503722091701387,0.04078078912169118,32.82322665230504,11.10601756434231,0.0006563925151208405
2024-07-24,528.7135009765625,Trend,20,1320.4997918226713,999415.7177162152,-0.6602498959113356,0.022823926062413166,18.837047654984676,221.59287528219508,0.03319668286048438
2024-07-25,525.9586791992188,Trend,1,82.44757774045975,971408.8372122231,-0.8244757774045974,0.016125584421543132,10.56089192830407,220.05871382137258,-0.028023253994835295
2024-07-26,531.849365234375,Trend,20,1212.1186445975475,989912.6569393775,-0.6060593222987738,0.030605424272520238,16.097137311924136,197.05391975960123,0.019048436681158076
2024-07-29,532.1618041992188,Trend,20,1383.6198635868434,988257.4368518927,-0.6918099317934217,0.03208201738710121,11.253283062996926,27.379919435912708,-0.0016720870027083778
2024-07-30,529.4656982421875,Trend,20,1903.2736680614782,987856.0326697982,-0.9516368340307391,0.010882232391591624,1.8956366319012161,82.54165932911151,-0.00040617370244455664
2024-07-31,538.0719604492188,Trend,11,59.86735943611663,996237.5938808554,-0.054424872214651476,0.02619062763237349,35.69334608071793,331.54829007176266,0.008484597890651147
2024-08-01,530.452392578125,Trend,14,632.2522196178809,1001592.2414055374,-0.4516087282984864,0.022994605550227844,27.271804044968622,94.80975594744507,0.005374869968340468
2024-08-02,520.576171875,Trend,20,1628.1796853594174,1016150.7947645523,-0.8140898426797087,0.011944709141678413,12.196329269614143,166.41055592745056,0.014535409478197314
2024-08-05,505.41510009765625,Trend,20,1965.3212231548412,1019699.0496805925,-0.9826606115774206,0.0017010999345295679,1.4978461999938324,51.11892722158556,0.00349185862405621
2024-08-06,510.07476806640625,Trend,20,1959.0278557549009,1019741.3485321121,-0.9795139278774505,0.0022008238707861174,1.514695475107272,0.9630263750643661,4.148170142248553e-05
2024-08-07,506.6654968261719,Trend,20,1997.1831767538192,1019904.7478123682,-0.9985915883769096,0.0002432970915843047,0.11007396212386707,5.7995954011437085,0.0001602360054255847
2024-08-08,518.3782348632812,Trend,20,1985.333952838217,1020090.3276647388,-0.9926669764191085,0.001397050626387575,0.35782461849265895,1.842713933360882,0.000181958023794504
2024-08-09,520.6640625,Trend,11,-72.83547137859709,999496.618325944,0.06621406488963372,0.019057049082849834,34.49987449475875,367.955714668495,-0.020188123326234653
2024-08-12,520.9376220703125,Trend,12,-92.30057831075457,999508.5140089799,0.07691714859229548,0.02074208742443167,31.91882313169561,4.418900030758207,1.1901674120684547e-05
2024-08-13,529.5048217773438,Trend,15,-636.4803964617878,1005430.7372811207,0.4243202643078586,0.018376322697644096,25.441266967011483,90.97294633497631,0.005925135393181513
2024-08-14,531.17529296875,Trend,19,-1003.9101714093391,1009917.1255486804,0.528373774425968,0.018573363512067582,20.604397963732715,64.38216310063729,0.004462155473475837
2024-08-15,540.2797241210938,Trend,20,-1688.5945247287168,1013121.3462852624,0.8442972623643583,0.009768334975770943,8.58488900532188,112.92182329709975,0.003172756115845665
2024-08-16,541.4910888671875,Trend,20,-1867.5977654607784,1011801.8794753423,0.9337988827303891,0.006091421101488165,3.560330521850835,29.078597920427796,-0.001302377859037307
2024-08-19,546.6683959960938,Trend,20,-1996.931605118046,1011652.8217023755,0.998465802559023,0.000303905561138215,0.0908674458238824,21.210816802036337,-0.00014731913034604638
2024-08-20,545.779541015625,Trend,10,-67.95643344407615,977633.1208159275,0.06795643344407615,0.01753425480068925,36.15738783271989,364.70796469532297,-0.03362784164354016
2024-08-21,547.6552124023438,Trend,11,-151.4204150486986,978048.833949765,0.13765492277154417,0.01864879121675756,33.20965239703928,15.239425192954581,0.00042522406921974287
2024-08-22,543.3568725585938,Trend,12,46.52241185800578,977089.0140301911,-0.038768676548338155,0.022405840734468756,30.497686117011416,33.54715876052699,-0.00098136195888876
2024-08-23,549.1301879882812,Trend,14,-325.49209734942053,978886.5010915592,0.23249435524958612,0.023640819333204555,26.420187330213604,63.68621750271266,0.0018396349110036958
2024-08-26,547.8211059570312,Trend,16,-301.9544330280237,978650.6635230476,0.1887215206425148,0.028091016500141237,23.175475198832988,5.89531050605744,-0.0002409243239626102
2024-08-27,548.5733032226562,Trend,20,-540.3405117128636,979305.8028506931,0.2701702558564318,0.033307858392860504,18.367952217962547,42.641326125005655,0.0006694312404460501
2024-08-28,545.3887939453125,Trend,20,-109.21297050740452,974710.3906549382,0.054606485253702264,0.050093073308456776,13.674054825883491,70.539638920396,-0.004692520132504097
2024-08-29,545.4376220703125,Trend,10,-58.84802171890846,978133.5588098174,0.05884802171890846,0.019631375290365235,36.1676690088448,51.92013780243875,0.003511984880533614
2024-08-30,550.6444091796875,Trend,12,-334.92429290006544,980115.9731731282,0.2791035774167212,0.020350308057235207,31.801014493832202,48.38314069874731,0.002026731774465329
2024-09-03,539.3126220703125,Trend,13,301.1963037110843,983520.4135079351,-0.23168946439314175,0.022883093376076073,29.019585836284474,104.18229110645272,0.003473507654186081
2024-09-04,538.2088012695312,Trend,-16,-630.9579924894912,947180.3526878052,-0.394348745305932,0.028940172902096287,23.67601596042229,179.2188809755125,-0.03694896447600449
2024-09-05,536.8997192382812,Trend,-20,-1077.8342199780554,944397.0827672326,-0.5389171099890278,0.029287631018437697,17.811282003092657,75.78242655841336,-0.0029384793642251994
2024-09-06,527.86376953125,Trend,20,1872.8239020173608,1009066.1407327909,-0.9364119510086804,0.007978381778965447,3.357309860150416,529.0484844592352,0.06847655413765974
2024-09-09,533.773681640625,Trend,-20,-1879.4482899330148,962637.9983532109,-0.9397241449665075,0.011684183258108766,2.2966000980982257,641.4133305988745,-0.04601100017672144
