date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,kelly,edge,band,return
2024-06-17,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-18,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-20,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-21,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-24,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-25,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-26,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-27,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-28,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-01,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-02,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-03,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-05,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-08,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-09,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-10,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-11,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-12,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-15,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-16,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-17,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-18,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-19,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-22,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-23,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-24,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-25,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-26,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-29,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-30,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-07-31,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
